tid,tags,EN,oldEN
string,,string,string
TID_LOADING,,Загрузка,Loading
TID_UPDATING_CONTENT,,Обновление,Updating
TID_SHUTDOWN_STARTED,,Маленький технический перерыв! В игру нельзя будет играть во время него..,A short maintenance break is coming up in a few minutes. The game can't be played during the break.
TID_NAME_CHANGED_SUCCESS,,Ваш аккаунт теперь имеет новое имя,Your account has a new name
TID_SETTINGS,,Настройки,Settings
TID_DAY,,ДЕНЬ,DAY
TID_AMOUNT_OUT_OF_MAX,,<amount> / <max>,<amount> / <max>
TID_LEVEL,,Уровень,Level
TID_LEVEL_NUMBER,,Уровень <num>,Level <num>
TID_HIT_POINTS,,Здоровье <total>,Health: <total>
TID_HIT_POINTS_CURRENT,,Здоровье <current>/<total>,Health: <current>/<total>
TID_DAMAGE,,Урон: <damage>,Damage: <damage>
TID_DAMAGE_X_N,,Урон: <damage> x <count>,Damage: <damage> x <count>
TID_DAMAGE_MAX_HEALTH,,Урон: Один выстрел,Damage: One-shot
TID_QUEST_TARGET,,Цель Квеста. Разрушай для дополнительной награды!,Target of a Quest. Destroy for extra reward!
TID_ATTACK_COUNTER_IMMEDIATE,,Атакует после твоего хода!,Will attack after your turn!
TID_ATTACK_COUNTER,,<number> хода до атаки,Will attack in <number> turns
TID_MOVES,,ХОДОВ,MOVES
TID_TRIES,,Попыток:,Tries:
TID_POPUP_EXIT_GAME_TITLE,,Покинуть игру,Exit game
TID_POPUP_EXIT_GAME_TEXT,,"Ты уверен, что хочешь покинуть игру?",Are you sure you want to exit the game?
TID_BUTTON_YES,,Да,Yes
TID_BUTTON_NO,,Нет,No
TID_BUTTON_OKAY,,Окей,Okay
TID_BUTTON_CANCEL,,Отмена,Cancel
TID_BUTTON_RETRY,,Повторить,Retry
TID_BUTTON_REFILL,,Пополнить,Refill
TID_BUTTON_CONFIRM,,Подтвердить,Confirm
TID_BUTTON_CONNECT_ONLINE,,Подключиться,Connect
TID_BUTTON_RANK,,Ранк:,Rank:
TID_BUTTON_USE_CONSUMABLE,,Использовать,Use
TID_BUTTON_FRIENDS,,Друзья,Friends
